Direction,P CW,SE,Coherence,Subject
-19.5,0.114,0.023,0.04,A
-15.5,0.173,0.030,0.04,A
-11.5,0.236,0.032,0.04,A
-7.5,0.276,0.033,0.04,A
-3.5,0.390,0.036,0.04,A
0.5,0.430,0.037,0.04,A
4.5,0.516,0.037,0.04,A
8.5,0.599,0.035,0.04,A
12.5,0.719,0.033,0.04,A
16.5,0.748,0.031,0.04,A
20.5,0.780,0.031,0.04,A
-19.5,0.048,0.016,0.07,A
-15.5,0.089,0.021,0.07,A
-11.5,0.106,0.023,0.07,A
-7.5,0.152,0.026,0.07,A
-3.5,0.304,0.034,0.07,A
0.5,0.397,0.036,0.07,A
4.5,0.592,0.034,0.07,A
8.5,0.695,0.033,0.07,A
12.5,0.823,0.029,0.07,A
16.5,0.831,0.029,0.07,A
20.5,0.923,0.021,0.07,A
-19.5,0.010,0.007,0.13,A
-15.5,0.049,0.015,0.13,A
-11.5,0.098,0.022,0.13,A
-7.5,0.121,0.024,0.13,A
-3.5,0.218,0.030,0.13,A
0.5,0.424,0.038,0.13,A
4.5,0.611,0.038,0.13,A
8.5,0.715,0.035,0.13,A
12.5,0.820,0.028,0.13,A
16.5,0.924,0.020,0.13,A
20.5,0.950,0.015,0.13,A
-19.5,0.005,0.005,0.25,A
-15.5,0.022,0.010,0.25,A
-11.5,0.047,0.015,0.25,A
-7.5,0.073,0.020,0.25,A
-3.5,0.140,0.026,0.25,A
0.5,0.375,0.034,0.25,A
4.5,0.593,0.037,0.25,A
8.5,0.825,0.029,0.25,A
12.5,0.904,0.021,0.25,A
16.5,0.945,0.017,0.25,A
20.5,0.972,0.012,0.25,A
-19.5,0.290,0.036,0.04,C
-15.5,0.345,0.037,0.04,C
-11.5,0.371,0.039,0.04,C
-7.5,0.393,0.040,0.04,C
-3.5,0.4,0.039,0.04,C
0.5,0.523,0.040,0.04,C
4.5,0.594,0.039,0.04,C
8.5,0.633,0.041,0.04,C
12.5,0.675,0.040,0.04,C
16.5,0.683,0.039,0.04,C
20.5,0.744,0.038,0.04,C
-19.5,0.172,0.032,0.07,C
-15.5,0.203,0.031,0.07,C
-11.5,0.236,0.035,0.07,C
-7.5,0.373,0.040,0.07,C
-3.5,0.417,0.041,0.07,C
0.5,0.493,0.041,0.07,C
4.5,0.595,0.042,0.07,C
8.5,0.725,0.036,0.07,C
12.5,0.74,0.035,0.07,C
16.5,0.8,0.035,0.07,C
20.5,0.804,0.032,0.07,C
-19.5,0.092,0.025,0.13,C
-15.5,0.131,0.030,0.13,C
-11.5,0.234,0.035,0.13,C
-7.5,0.333,0.040,0.13,C
-3.5,0.385,0.043,0.13,C
0.5,0.531,0.042,0.13,C
4.5,0.672,0.039,0.13,C
8.5,0.745,0.036,0.13,C
12.5,0.796,0.034,0.13,C
16.5,0.777,0.032,0.13,C
20.5,0.908,0.023,0.13,C
-19.5,0.051,0.018,0.25,C
-15.5,0.082,0.024,0.25,C
-11.5,0.150,0.030,0.25,C
-7.5,0.261,0.035,0.25,C
-3.5,0.364,0.039,0.25,C
0.5,0.383,0.041,0.25,C
4.5,0.623,0.040,0.25,C
8.5,0.739,0.035,0.25,C
12.5,0.762,0.035,0.25,C
16.5,0.800,0.033,0.25,C
20.5,0.924,0.021,0.25,C
-19.5,0.174,0.035,0.04,D
-15.5,0.231,0.038,0.04,D
-11.5,0.222,0.036,0.04,D
-7.5,0.284,0.040,0.04,D
-3.5,0.375,0.043,0.04,D
0.5,0.485,0.044,0.04,D
4.5,0.605,0.042,0.04,D
8.5,0.762,0.040,0.04,D
12.5,0.858,0.031,0.04,D
16.5,0.879,0.029,0.04,D
20.5,0.897,0.028,0.04,D
-19.5,0.064,0.022,0.07,D
-15.5,0.070,0.023,0.07,D
-11.5,0.138,0.030,0.07,D
-7.5,0.278,0.040,0.07,D
-3.5,0.360,0.044,0.07,D
0.5,0.504,0.045,0.07,D
4.5,0.639,0.043,0.07,D
8.5,0.776,0.036,0.07,D
12.5,0.832,0.033,0.07,D
16.5,0.944,0.021,0.07,D
20.5,0.959,0.018,0.07,D
