Delta,Estimate,Shift,Coherence
-12.5,-6,-6,0.04
-0.5,-8,-6,0.04
-16.5,-8,-6,0.04
-11.5,-4,-6,0.04
-22.5,-1,-6,0.04
-16.5,-14,-6,0.04
-1.5,-3,-6,0.04
-8.5,-3,-6,0.04
-7.5,-3,-6,0.04
-15.5,-8,-6,0.04
-17.5,-2,-6,0.04
-8.5,-13,-6,0.04
-15.5,-4,-6,0.04
-3.5,-7,-6,0.04
-16.5,-12,-6,0.04
-23.5,-14,-6,0.04
-20.5,-5,-6,0.04
-14.5,-1,-6,0.04
-18.5,-1,-6,0.04
-22.5,-5,-6,0.04
-12.5,-3,-6,0.04
-13.5,0,-6,0.04
-21.5,-3,-6,0.04
-7.5,-2,-6,0.04
-5.5,0,-6,0.04
-17.5,-8,-6,0.04
-17.5,-3,-6,0.04
-20.5,-13,-6,0.04
-18.5,0,-6,0.04
-13.5,-7,-6,0.04
-21.5,-9,-6,0.04
-22.5,-3,-6,0.04
-21.5,-2,-6,0.04
-17.5,-2,-6,0.04
-10.5,0,-6,0.04
-18.5,-1,-6,0.04
-2.5,-1,-6,0.04
-21.5,-4,-6,0.04
-8.5,-4,-6,0.04
-18.5,-6,-6,0.04
8.5,11,-6,0.04
18.5,14,-6,0.04
11.5,0,-6,0.04
24.5,1,-6,0.04
8.5,14,-6,0.04
13.5,12,-6,0.04
9.5,10,-6,0.04
12.5,13,-6,0.04
19.5,14,-6,0.04
16.5,11,-6,0.04
22.5,15,-6,0.04
3.5,13,-6,0.04
20.5,11,-6,0.04
19.5,14,-6,0.04
22.5,2,-6,0.04
1.5,10,-6,0.04
11.5,11,-6,0.04
17.5,17,-6,0.04
0.5,14,-6,0.04
22.5,21,-6,0.04
9.5,12,-6,0.04
13.5,4,-6,0.04
18.5,14,-6,0.04
2.5,10,-6,0.04
16.5,27,-6,0.04
3.5,0,-6,0.04
24.5,13,-6,0.04
8.5,13,-6,0.04
2.5,19,-6,0.04
0.5,1,-6,0.04
15.5,8,-6,0.04
2.5,0,-6,0.04
6.5,16,-6,0.04
11.5,10,-6,0.04
16.5,1,-6,0.04
5.5,7,-6,0.04
19.5,20,-6,0.04
11.5,15,-6,0.04
17.5,13,-6,0.04
20.5,11,-6,0.04
23.5,13,-6,0.04
14.5,13,-6,0.04
2.5,13,-6,0.04
17.5,8,-6,0.04
19.5,16,-6,0.04
13.5,13,-6,0.04
3.5,12,-6,0.04
19.5,13,-6,0.04
8.5,7,-6,0.04
20.5,10,-6,0.04
10.5,13,-6,0.04
24.5,18,-6,0.04
1.5,0,-6,0.04
10.5,0,-6,0.04
10.5,7,-6,0.04
9.5,9,-6,0.04
20.5,1,-6,0.04
16.5,4,-6,0.04
12.5,7,-6,0.04
20.5,18,-6,0.04
24.5,21,-6,0.04
24.5,10,-6,0.04
15.5,10,-6,0.04
12.5,9,-6,0.04
9.5,7,-6,0.04
14.5,0,-6,0.04
18.5,15,-6,0.04
21.5,12,-6,0.04
22.5,21,-6,0.04
12.5,8,-6,0.04
9.5,15,-6,0.04
20.5,7,-6,0.04
13.5,5,-6,0.04
24.5,8,-6,0.04
10.5,13,-6,0.04
20.5,10,-6,0.04
0.5,11,-6,0.04
14.5,11,-6,0.04
0.5,5,-6,0.04
3.5,12,-6,0.04
12.5,13,-6,0.04
17.5,9,-6,0.04
-22.5,-8,0,0.04
-17.5,-12,0,0.04
-3.5,-18,0,0.04
-6.5,-5,0,0.04
-15.5,-7,0,0.04
-13.5,-9,0,0.04
-16.5,-17,0,0.04
-23.5,-5,0,0.04
-22.5,-9,0,0.04
-12.5,-5,0,0.04
-16.5,-13,0,0.04
-23.5,-4,0,0.04
-12.5,-7,0,0.04
-4.5,-5,0,0.04
-9.5,-6,0,0.04
-13.5,-8,0,0.04
-8.5,-8,0,0.04
-5.5,-7,0,0.04
-11.5,-9,0,0.04
-19.5,-19,0,0.04
-4.5,-8,0,0.04
-17.5,-11,0,0.04
-6.5,-4,0,0.04
-18.5,-10,0,0.04
-7.5,-10,0,0.04
-24.5,-13,0,0.04
-16.5,-8,0,0.04
-4.5,-4,0,0.04
-13.5,-11,0,0.04
-24.5,-14,0,0.04
-12.5,-8,0,0.04
-14.5,-11,0,0.04
-3.5,-18,0,0.04
-21.5,-9,0,0.04
-9.5,-11,0,0.04
-18.5,-9,0,0.04
-6.5,-10,0,0.04
-24.5,-7,0,0.04
-6.5,-7,0,0.04
-17.5,-5,0,0.04
-12.5,-13,0,0.04
-5.5,0,0,0.04
-22.5,-5,0,0.04
-8.5,-3,0,0.04
-2.5,-3,0,0.04
-19.5,-9,0,0.04
-5.5,-9,0,0.04
-14.5,-5,0,0.04
-12.5,-6,0,0.04
-12.5,-8,0,0.04
-4.5,-9,0,0.04
-1.5,-4,0,0.04
-3.5,-6,0,0.04
-9.5,-8,0,0.04
-4.5,-10,0,0.04
-14.5,-5,0,0.04
-21.5,-5,0,0.04
15.5,4,0,0.04
11.5,10,0,0.04
19.5,8,0,0.04
24.5,3,0,0.04
0.5,9,0,0.04
3.5,2,0,0.04
17.5,12,0,0.04
18.5,15,0,0.04
5.5,4,0,0.04
